,Ranking,Username,Subscribers,Uploads,Views,Country,Subscribers_per_Upload,Fastest_growing_channel_rank
0,29,UR.Cristiano,71700000.0,80,721228815,PT,896250.0,1.0
1,1,MrBeast,336000000.0,838,66853633536,US,400954.65393794747,2.0
2,84,MrBeast2,47300000.0,123,7045045458,US,384552.8455284553,3.0
3,62,Billie Eilish,53900000.0,142,17599708994,US,379577.4647887324,4.0
4,95,MrBeast Gaming,46000000.0,141,8387527043,US,326241.13475177303,5.0
5,47,Mark Rober,60800000.0,187,8956227211,US,325133.6898395722,6.0
6,41,EminemMusic,63400000.0,196,32256297282,Unknown,323469.387755102,7.0
7,78,Bad Bunny,48500000.0,157,37198349778,PR,308917.1974522293,8.0
8,13,Stokes Twins,102000000.0,335,16139307959,US,304477.6119402985,9.0
9,26,Justin Bieber,74400000.0,249,33636731466,CA,298795.1807228916,10.0
10,98,Katy Perry,45600000.0,170,27616850074,US,268235.29411764705,11.0
11,60,Ariana Grande,55100000.0,214,27575337685,US,257476.63551401868,12.0
12,49,Taylor Swift,60400000.0,285,37663171636,US,211929.8245614035,13.0
13,6,Vlad & Niki,129000000.0,796,99291499729,US,162060.3015075377,14.0
14,16,Blackpink,95400000.0,603,37502831600,KR,158208.9552238806,15.0
15,94,Kimberly Loaiza,46100000.0,314,6893064959,MX,146815.2866242038,16.0
16,3,Cocomelon-Nursery Rhymes,186000000.0,1370,194361752276,US,135766.42335766423,17.0
17,8,Like Nastya,124000000.0,918,108128507997,US,135076.25272331154,18.0
18,48,Dude Perfect,60600000.0,463,18005895732,US,130885.52915766739,19.0
19,85,Shakira,47300000.0,362,31911521616,CO,130662.98342541436,20.0
20,17,ChuChu Tv,94300000.0,832,53265415943,IN,113341.34615384616,21.0
21,54,Marshmello,57500000.0,508,16389217605,US,113188.97637795276,22.0
22,59,Ed Sheeran,55600000.0,538,33424121267,GB,103345.7249070632,23.0
23,7,Kids Diana Show,128000000.0,1282,108987929584,US,99843.99375975039,24.0
24,39,Infobells-Hindi,66800000.0,731,39661413683,IN,91381.66894664842,25.0
25,79,Fernanfloo,48100000.0,547,10725356823,SV,87934.18647166362,26.0
26,77,Real fools shorts official,49500000.0,636,23650395482,IN,77830.18867924529,27.0
27,30,A4,71500000.0,971,31487602900,US,73635.42739443872,28.0
28,93,Alan Walker,46200000.0,676,14996804659,NO,68343.19526627219,29.0
29,52,LooLoo Kids ,59300000.0,933,36603603223,US,63558.413719185424,30.0
30,92,Maria Clara & JP,46200000.0,916,30293144508,BR,50436.681222707426,31.0
31,33,Alan Chikin Chow,70000000.0,1413,48935762064,US,49539.98584571833,32.0
32,36,Toys & Colors,68300000.0,1396,82391801354,US,48925.50143266476,33.0
33,57,PANDA BOL,55900000.0,1143,25243008251,IT,48906.38670166229,34.0
